Subject ID	max(abs(Tx))	max(abs(Ty))	max(abs(Tz))	max(abs(Rx))	max(abs(Ry))	max(abs(Rz))	mean(abs(Tx))	mean(abs(Ty))	mean(abs(Tz))	mean(abs(Rx))	mean(abs(Ry))	mean(abs(Rz))	mean RMS	mean relative RMS (mean FD_VanDijk)	mean FD_Power	Number of FD_Power>0.5	Percent of FD_Power>0.5	Number of FD_Power>0.2	Percent of FD_Power>0.2	mean FD_Jenkinson
S5056	0.556604	0.7279424	0.6384799	0.8947926	0.2238045	1.518697	0.2954541	0.4325481	0.2504148	0.5245174	0.1088537	0.6962867	0.6021125	0.03686095	0.2546698	8	0.02622951	205	0.6721311	0.1529843
S5057	0.1998256	0.2134386	0.8976527	1.217048	0.3348644	0.5227542	0.07198113	0.08747839	0.3920712	0.6590642	0.1009017	0.2328961	0.4251545	0.08808543	0.2331896	5	0.01639344	178	0.5836066	0.1348917
S51	0.2815581	0.3378933	0.1818111	0.08335608	0.3018698	0.05174529	0.1670599	0.148452	0.0954405	0.02920461	0.192332	0.01486792	0.2501186	0.02187332	0.08395754	0	0	10	0.03278689	0.04728258
S52	0.6156946	0.9086392	0.433237	1.604518	0.1995901	0.3390087	0.3174686	0.4589375	0.0640695	0.5628316	0.07549943	0.173069	0.603553	0.04467545	0.1895803	10	0.03278689	109	0.357377	0.1092977
S53	0.1184766	0.2429484	1.190547	0.920167	0.1603263	0.1609644	0.05188708	0.04569205	0.3034661	0.6841944	0.04212608	0.08057866	0.3175955	0.1206656	0.2949124	13	0.04262295	223	0.7311475	0.1795484
S55	0.8163893	1.368074	0.1982914	1.504453	0.8884728	0.4069706	0.5046378	0.7657517	0.08549619	0.8121276	0.5600358	0.183761	0.9308519	0.02502851	0.1389429	1	0.003278689	57	0.1868852	0.07807978
S56	0.1860767	0.6420754	0.7090825	1.57138	0.1882728	0.1409678	0.08650978	0.3144121	0.3138367	0.8057274	0.06828758	0.04111517	0.4635754	0.07408089	0.1691912	0	0	115	0.3770492	0.09589451
S58	0.2988517	0.2782466	0.9873448	0.3443188	0.2570932	0.1570457	0.09099572	0.1427316	0.3930282	0.1000064	0.07801614	0.04562127	0.4478709	0.04927285	0.1438144	0	0	33	0.1081967	0.0773063
S62	0.473053	0.1387761	0.946296	0.5098687	0.59472	0.3342716	0.2279608	0.05274705	0.4816603	0.1390201	0.3541975	0.1841947	0.5393852	0.05492886	0.1637497	8	0.02622951	81	0.2655738	0.09183283
S63	0.3661509	0.1886648	0.2512245	0.4703183	0.854952	0.4607624	0.2049692	0.06384376	0.0591705	0.1270054	0.4740797	0.2745507	0.233169	0.02284165	0.1380022	0	0	51	0.1672131	0.07592288
S64	1.284612	0.6998877	2.015548	0.9953627	0.8884236	0.4636029	0.8560658	0.3759678	1.19387	0.6033325	0.5201284	0.319093	1.523695	0.09378507	0.291359	28	0.09180328	209	0.6852459	0.1747075
S65	1.218512	0.2997448	0.6334432	0.32338	0.6727321	0.3115294	0.5225694	0.1067194	0.1944876	0.09079298	0.2839001	0.08450603	0.5808701	0.04310244	0.2820832	22	0.07213115	210	0.6885246	0.1596783
S66	0.1030042	0.6544973	0.3802975	0.7758945	0.2198041	0.5178196	0.05084643	0.3704496	0.1249357	0.3469114	0.1159788	0.2734764	0.3986054	0.030822	0.1008931	0	0	2	0.006557377	0.05833696
S67	0.2713394	0.3263717	0.8361744	1.320442	0.1499189	0.3282117	0.1193698	0.1651009	0.2368166	0.2812052	0.05353342	0.1599273	0.324142	0.02579349	0.1299327	4	0.01333333	20	0.06666667	0.06993828
S68	0.52667	0.570282	0.8160402	1.156621	0.8337632	0.6890512	0.2359014	0.2795369	0.2052984	0.419108	0.2667053	0.4479874	0.4384782	0.04678831	0.2360057	5	0.01639344	193	0.6327869	0.1495028
S69	0.7834886	1.211432	1.36119	1.852072	1.641944	2.342441	0.3904839	0.4329517	0.4229567	0.2275449	0.693438	0.2708057	0.7711693	0.206093	0.7673122	223	0.7311475	293	0.9606557	0.4950935
S70	0.706921	0.9240716	1.45798	0.5555402	0.5987353	0.4764324	0.4905433	0.5240412	0.7111425	0.3295941	0.3950862	0.323703	1.042086	0.4962336	0.972797	256	0.8393443	291	0.9540984	0.6270439
S71	0.8777777	0.2172412	0.2531041	0.2710325	0.9868495	0.6940729	0.46995	0.1146261	0.1309487	0.1041172	0.5505804	0.360541	0.5104318	0.01112828	0.1156898	0	0	15	0.04918033	0.06212303
S72	0.1562191	0.4787785	0.5751283	0.9157038	0.4818344	0.2714671	0.03724446	0.2643726	0.3143661	0.5045137	0.2336072	0.1001661	0.4235083	0.09739254	0.1998444	0	0	155	0.5081967	0.1222234
S73	0.5806753	0.5764724	0.769957	0.681862	0.2978173	1.148397	0.2602533	0.3758485	0.5310657	0.2243308	0.1329245	0.7569964	0.7117529	0.02178159	0.1352294	0	0	32	0.104918	0.07497868
S74	0.4939333	0.4268739	0.6951555	0.3756725	0.5232262	0.4012334	0.2092159	0.2331828	0.2391094	0.1748487	0.2819087	0.1649881	0.4246839	0.03947642	0.191612	0	0	138	0.452459	0.106923
S75	0.7345563	0.6052503	0.4640043	1.417666	0.2806927	0.3152204	0.2365417	0.1954964	0.2102311	0.1231637	0.1205965	0.05078081	0.3968783	0.0590981	0.2670076	18	0.05901639	174	0.5704918	0.1487582
S76	1.085369	0.520573	0.2608468	0.2094967	1.034684	0.446176	0.245353	0.2423696	0.07823444	0.08543602	0.447474	0.1536862	0.3807512	0.03663104	0.1368352	0	0	41	0.1344262	0.07027459
S78	0.5493096	0.4245334	0.5189986	0.4986331	0.3456374	0.09832575	0.3040057	0.1572781	0.1515048	0.1472517	0.195652	0.02846751	0.3930148	0.01544905	0.1099995	2	0.006557377	15	0.04918033	0.06256687
S79	0.531502	0.2060501	0.4139608	0.784032	0.7198209	0.2152298	0.08944583	0.0576043	0.08905897	0.4799916	0.1480262	0.07979924	0.1507152	0.03205424	0.1293689	0	0	23	0.07540984	0.07140187
S80	2.436099	0.1691636	1.359604	0.9081605	1.812531	2.205319	1.045461	0.05184706	0.2923194	0.2602581	0.6497833	0.9032945	1.102743	0.02336612	0.1123835	2	0.006557377	35	0.1147541	0.05666917
S81	1.483355	0.6323055	0.4230423	0.4726096	0.4971181	1.380074	0.6010013	0.2637626	0.08951695	0.1488638	0.2191398	0.5650072	0.6759774	0.03484443	0.2158007	0	0	179	0.5868852	0.1215905
S82	1.322391	1.308675	1.02248	1.46197	1.188315	0.5352999	0.6568591	0.6717491	0.4371765	0.6191636	0.6037841	0.2106751	1.064837	0.08448414	0.4192057	83	0.2721311	233	0.7639344	0.2146675
S83	1.701793	1.49758	1.480778	2.393635	0.4064037	0.4033032	0.4803268	0.8463922	0.782465	1.35741	0.2291252	0.09443652	1.288859	0.05185497	0.247941	19	0.06229508	161	0.5278689	0.1377007
S84	1.129489	0.3730446	0.6296487	0.6437184	0.3726692	0.6412096	0.3993293	0.1696037	0.2157662	0.1073127	0.1609317	0.2328814	0.5190066	0.05699447	0.2396394	7	0.02295082	187	0.6131148	0.1281046
S85	0.179227	0.2367542	0.4302164	0.1881325	0.1301675	0.1008467	0.06611402	0.1359236	0.1393531	0.07906681	0.04545387	0.04138948	0.2207977	0.04916952	0.2051273	0	0	174	0.5704918	0.1281854
S86	0.646829	0.1410183	0.3809522	0.1721058	0.2763334	0.3741931	0.3547062	0.04301842	0.0755863	0.03342088	0.1472091	0.1791099	0.3740429	0.02246264	0.1453484	1	0.003278689	41	0.1344262	0.07895529
S87	1.561955	0.7636054	1.038292	1.100305	2.034972	1.023363	0.6612728	0.09846951	0.1587375	0.2176873	0.6992346	0.2299301	0.7088167	0.05180725	0.3936289	71	0.2327869	250	0.8196721	0.2287538
S88	0.5534269	0.9832679	2.902727	2.721237	1.257059	0.9779116	0.08760516	0.214031	0.2658686	0.4915903	0.07404467	0.2012556	0.3786985	0.08634808	0.2402479	15	0.04918033	104	0.3409836	0.1384563
S89	0.7868877	0.6186101	0.4888539	0.3829602	1.112421	0.890912	0.3394693	0.3145028	0.1676299	0.09614769	0.5582419	0.3735593	0.5185592	0.0922488	0.4409187	127	0.4163934	245	0.8032787	0.2434574
S90	2.846095	0.4963205	0.3708028	0.777644	2.191902	2.992677	1.340483	0.2406006	0.1397324	0.3895796	0.9651618	1.602899	1.38389	0.03987856	0.2583049	4	0.01311475	203	0.6655738	0.153193
S91	0.6234287	0.3975907	0.8816958	0.9303017	0.8693965	0.1178809	0.3743521	0.07322593	0.2428063	0.4101012	0.6009541	0.05266464	0.4718329	0.05849588	0.2228583	8	0.02622951	157	0.5147541	0.1361638
S92	0.5405908	0.3497853	0.3482103	0.3577815	0.4639923	0.6500029	0.340245	0.1912168	0.1141443	0.1052685	0.2973894	0.3928599	0.4156834	0.02529019	0.1837977	0	0	130	0.4262295	0.1012069
S93	0.2318742	0.5443228	0.9348951	1.024172	0.7209543	0.2371606	0.1202944	0.2913764	0.1533502	0.2424425	0.3551211	0.1050958	0.3779801	0.04748838	0.2145088	5	0.01639344	161	0.5278689	0.1221951
S94	0.9692163	0.8326613	0.95064	0.8667626	0.39153	0.7464643	0.3394001	0.4114652	0.3296106	0.1050051	0.1738279	0.2206573	0.6456015	0.04785164	0.257752	24	0.07868852	168	0.5508197	0.1447246
S95	1.694106	0.1905428	0.3952038	0.6422232	1.170705	0.96862	1.13765	0.05687367	0.159529	0.1326589	0.7775576	0.495886	1.156933	0.02102951	0.1763645	0	0	100	0.3278689	0.09223274
S96	0.1788389	0.3148516	0.3545197	0.225526	0.451544	0.1968348	0.07140121	0.1466318	0.09645036	0.08014628	0.3396773	0.04331054	0.2083738	0.06898155	0.2431505	7	0.02295082	183	0.6	0.1646927
S97	0.2234701	0.5885087	0.6027461	1.429262	0.08323941	0.1696926	0.04376878	0.06694424	0.1351244	0.4799834	0.02149838	0.05275838	0.1678034	0.06518869	0.1968762	7	0.02295082	113	0.3704918	0.1185202
S98	0.3409772	0.1425071	0.6395407	0.2715693	0.5843532	0.1431958	0.1827033	0.04541835	0.3264086	0.139125	0.276931	0.07593038	0.3849925	0.08640877	0.1986292	5	0.01639344	132	0.4327869	0.1315427
S99	5.870797	8.02175	10.80376	8.083114	2.999653	1.063796	0.7459269	0.4411212	2.114711	1.557776	0.8658447	0.04892054	2.334529	0.1111277	0.4231952	23	0.07540984	149	0.4885246	0.238795
